n_friend_index,n_friend_name,n
842,18nh_00270645,5
844,18nh_00272455,4
844,18nh_00272455,5
846,18nh_00289495,4
846,18nh_00289495,5
847,18nh_00294406,4
847,18nh_00294406,5
849,18nh_00300023,4
849,18nh_00300023,5
851,18nh_00306671,4
851,18nh_00306671,5
852,18nh_00313027,4
852,18nh_00313027,5
853,18nh_00314497,4
853,18nh_00314497,5
856,18nh_00317294,4
856,18nh_00317294,5
858,18nh_00324802,4
858,18nh_00324802,5
860,18nh_00335399,4
860,18nh_00335399,5
861,18nh_00338424,4
861,18nh_00338424,5
862,18nh_00340245,4
862,18nh_00340245,5
863,18nh_00341340,4
863,18nh_00341340,5
864,18nh_00343779,4
864,18nh_00343779,5
865,18nh_00345820,4
865,18nh_00345820,5
866,18nh_00345821,4
866,18nh_00345821,5
867,18nh_00352799,4
867,18nh_00352799,5
868,18nh_00352802,4
868,18nh_00352802,5
871,18nh_00363883,4
871,18nh_00363883,5
872,18nh_00366467,4
872,18nh_00366467,5
874,18nh_00369005,4
874,18nh_00369005,5
875,18nh_00369007,4
875,18nh_00369007,5
876,18nh_00372511,4
876,18nh_00372511,5
877,18nh_00373968,4
877,18nh_00373968,5
878,18nh_00378000,4
878,18nh_00378000,5
880,18nh_00390031,4
880,18nh_00390031,5
881,18nh_00390156,4
881,18nh_00390156,5
883,18nh_00393537,4
883,18nh_00393537,5
884,18nh_00394152,4
884,18nh_00394152,5
885,18nh_00394880,4
885,18nh_00394880,5
886,18nh_00404229,4
886,18nh_00404229,5
890,18nh_00426483,4
890,18nh_00426483,5
891,18nh_00427910,4
891,18nh_00427910,5
892,18nh_00427911,4
892,18nh_00427911,5
898,18nh_00448735,4
898,18nh_00448735,5
904,18nh_00459865,4
904,18nh_00459865,5
905,18nh_00460190,4
905,18nh_00460190,5
906,18nh_00470472,4
906,18nh_00470472,5
907,18nh_00477327,4
907,18nh_00477327,5
908,18nh_00488696,4
908,18nh_00488696,5
909,18nh_00491042,4
909,18nh_00491042,5
912,18nh_00512182,4
912,18nh_00512182,5
914,18nh_00521000,4
914,18nh_00521000,5
915,18nh_00528075,4
915,18nh_00528075,5
917,18nh_00547552,4
917,18nh_00547552,5
921,18nh_00562633,4
921,18nh_00562633,5
925,18nh_00581895,4
925,18nh_00581895,5
927,18nh_00583235,4
927,18nh_00583235,5
929,18nh_00583237,4
929,18nh_00583237,5
930,18nh_00584034,4
930,18nh_00584034,5
932,18nh_00584421,4
932,18nh_00584421,5
933,18nh_00588827,4
933,18nh_00588827,5
936,18nh_00610450,4
936,18nh_00610450,5
937,18nh_00617223,4
937,18nh_00617223,5
938,18nh_00620064,4
938,18nh_00620064,5
940,18nh_00644703,4
940,18nh_00644703,5
941,18nh_00644704,4
941,18nh_00644704,5
950,18nh_00678034,4
950,18nh_00678034,5
951,18nh_00702273,4
951,18nh_00702273,5
952,18nh_00702275,4
952,18nh_00702275,5
953,18nh_00706746,4
953,18nh_00706746,5
959,18nh_00752764,4
959,18nh_00752764,5
960,18nh_00758313,4
960,18nh_00758313,5
962,18nh_00777777,4
962,18nh_00777777,5
963,18nh_00778169,4
963,18nh_00778169,5
964,18nh_00782230,4
964,18nh_00782230,5
967,18nh_00801144,4
967,18nh_00801144,5
968,18nh_00801145,4
968,18nh_00801145,5
972,18nh_00845332,4
972,18nh_00845332,5
975,18nh_00857523,4
975,18nh_00857523,5
977,18nh_00858202,4
977,18nh_00858202,5
979,18nh_00859624,4
979,18nh_00859624,5
983,18nh_00891756,4
983,18nh_00891756,5
986,18nh_00919429,4
986,18nh_00919429,5
987,18nh_00922720,4
987,18nh_00922720,5
992,18nh_00954076,4
992,18nh_00954076,5
993,18nh_00956687,4
993,18nh_00956687,5
996,18nh_00971693,4
996,18nh_00971693,5
999,18nh_00982869,4
999,18nh_00982869,5
1001,18nh_00994451,4
1001,18nh_00994451,5
1006,18nh_01041932,4
1006,18nh_01041932,5
1007,18nh_01044358,4
1007,18nh_01044358,5
1024,18nh_01127336,4
1024,18nh_01127336,5
1027,18nh_01150016,4
1027,18nh_01150016,5
1029,18nh_01160817,4
1029,18nh_01160817,5
1033,18nh_01181370,4
1033,18nh_01181370,5
1035,18nh_01190096,4
1035,18nh_01190096,5
1036,18nh_01199437,4
1036,18nh_01199437,5
1037,18nh_01200324,4
1037,18nh_01200324,5
1038,18nh_01204418,4
1038,18nh_01204418,5
1039,18nh_01205943,4
1039,18nh_01205943,5
1040,18nh_01206992,4
1040,18nh_01206992,5
1041,18nh_01212060,4
1041,18nh_01212060,5
1045,18nh_01237232,4
1045,18nh_01237232,5
1047,18nh_01249425,4
1047,18nh_01249425,5
1049,18nh_01259677,4
1049,18nh_01259677,5
1050,18nh_01267934,4
1050,18nh_01267934,5
1053,18nh_01267938,4
1053,18nh_01267938,5
1054,18nh_01267940,4
1054,18nh_01267940,5
1055,18nh_01267941,4
1055,18nh_01267941,5
1058,18nh_01282626,4
1058,18nh_01282626,5
1060,18nh_01296779,4
1060,18nh_01296779,5
1061,18nh_01296780,4
1061,18nh_01296780,5
1062,18nh_01297276,4
1062,18nh_01297276,5
1063,18nh_01300388,4
1063,18nh_01300388,5
1064,18nh_01306006,4
1064,18nh_01306006,5
1065,18nh_01329567,4
1065,18nh_01329567,5
1069,18nh_01345121,4
1069,18nh_01345121,5
1071,18nh_01352453,4
1071,18nh_01352453,5
1080,18nh_01412014,4
1080,18nh_01412014,5
1082,18nh_01414067,4
1082,18nh_01414067,5
1084,18nh_01434577,4
1084,18nh_01434577,5
1085,18nh_01449054,4
1085,18nh_01449054,5
1090,18nh_01468530,4
1090,18nh_01468530,5
1093,18nh_01500598,4
1093,18nh_01500598,5
1094,18nh_01501239,4
1094,18nh_01501239,5
1095,18nh_01506772,4
1095,18nh_01506772,5
1096,18nh_01509702,4
1096,18nh_01509702,5
1097,18nh_01519642,4
1097,18nh_01519642,5
1098,18nh_01526756,4
1098,18nh_01526756,5
1103,18nh_01547765,4
1103,18nh_01547765,5
1111,18nh_01582741,4
1111,18nh_01582741,5
1112,18nh_01586455,4
1112,18nh_01586455,5
1113,18nh_01626423,4
1113,18nh_01626423,5
1120,18nh_01649375,4
1120,18nh_01649375,5
1121,18nh_01652885,4
1121,18nh_01652885,5
1125,18nh_01682179,4
1125,18nh_01682179,5
1128,18nh_01686662,4
1128,18nh_01686662,5
1129,18nh_01695880,4
1129,18nh_01695880,5
1130,18nh_01695881,4
1130,18nh_01695881,5
1132,18nh_01729914,4
1132,18nh_01729914,5
1133,18nh_01729916,4
1133,18nh_01729916,5
1134,18nh_01729917,4
1134,18nh_01729917,5
1135,18nh_01729919,4
1135,18nh_01729919,5
1136,18nh_01733337,4
1136,18nh_01733337,5
1138,18nh_01735837,4
1138,18nh_01735837,5
1140,18nh_01764607,4
1140,18nh_01764607,5
1141,18nh_01766653,4
1141,18nh_01766653,5
1143,18nh_01789612,4
1143,18nh_01789612,5
1144,18nh_01793662,4
1144,18nh_01793662,5
1148,18nh_01826651,4
1148,18nh_01826651,5
